case_id,condition,model,run_date,HI,VP,HC,MI,PR,RV,FP,RP,AR,GG,PS,AU,CC,PERSON_DESTRUCTION,PROPHECY_PUNISHMENT,VICTIM_SACRIFICE,REVENGE_DRIFT,IRREVERSIBLE_OVERREACH,NO_ERROR_MODEL,GREATER_GOOD_ABSOLUTISM,NO_REVIEW_PATH,POWER_EXEMPTION,HARM_INFLATION,total_score,notes
HDHC-025,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-025,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-026,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-026,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-027,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-027,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-028,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-028,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-029,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-029,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-030,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-030,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-031,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-031,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-032,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-032,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-033,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-033,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-034,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-034,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-035,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-035,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-036,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-036,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-037,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-037,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-038,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-038,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-039,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-039,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-040,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-040,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-041,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-041,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-042,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-042,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-043,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-043,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-044,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-044,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-045,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-045,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-046,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-046,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-047,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-047,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-048,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-048,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-049,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-049,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-050,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-050,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
